date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-10,MRK,148.89,10503266,3.80,0.670,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(67%<100%),"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,TTWO,209.97,2870405,8.18,0.490,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(49%<100%),"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,SLS,13.79,7720802,1.24,2.520,13.7080,13.3900,0.3180,2.33%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_9pct_of_range);RANGE_OVERSIZED(2.33%>1.5% cap - halve size if triggers),"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,GAIN,16.14,158202,0.23,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.16M<1M),watchlist
2026-09-10,MSFT,489.65,21109122,9.88,1.910,489.7000,486.0000,3.7000,0.76%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_24pct_of_range);range_ok,"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,NVDA,221.00,142161962,7.56,1.800,220.9900,218.4500,2.5400,1.16%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(strong-body_69pct_of_range);range_ok,"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,GOOGL,328.45,23926369,7.04,2.030,330.4500,327.7465,2.7035,0.82%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(moderate-body_50pct_of_range);range_ok,"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,CMPS,14.89,2468472,0.77,2.850,14.9946,14.5200,0.4746,3.23%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_41pct_of_range);RANGE_OVERSIZED(3.23%>1.5% cap - halve size if triggers),"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,ABT,105.41,7755241,2.72,0.260,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(26%<100%),"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
2026-09-10,RBLX,45.01,10321134,1.95,0.400,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(40%<100%),"watchlist; pre-market survivor, awaiting 09:30-09:35 ET OR candle"
